,,,,,,,,,,,,,,,,,,,,
ABU DHABI COMMERCIAL BANK - INDIA TREASURY,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CARD RATES AS OF:        ,,,3-Sep-19,,closing,,,17.00,,BASE RATE,,,,SPOT RATE,,C/S DIFFERENCE,,,,
,,,,,,,,,,BID,ASK,,,BID,ASK,BID,ASK,,,
CCY,TC SELL,TC BUY,TT SELL,BILL SELL,TT BUY,BILL BUY,CCY SELL,CCY BUY,,,,,,,,,,,,
USD,72.81,70.31,72.09,72.11,71.38,71.40,74.09,70.07,, 71.7560 , 71.7670 , ? ,USD,71.7700,71.7800,1.3000,1.4000, To be updated,,to be taken from daya sir sheet row no. 32
JPY*,69.21,66.62,68.52,68.54,67.29,67.30,70.59,63.29,, 67.8608 , 67.8776 , ? ,JPY*,105.7300,105.7400,0,0,,,
GBP,89.45,86.07,88.57,88.59,86.93,86.95,91.24,81.76,, 87.6930 , 87.7280 , ? ,GBP,1.2221,1.2224,0,0,,,
EUR,81.13,78.06,80.33,80.35,78.85,78.85,82.75,74.16,, 79.5415 , 79.5681 , ? ,EUR,1.1085,1.1087,0,0,,,
CHF,74.57,71.76,73.84,73.85,72.48,72.48,76.06,68.17,, 73.1160 , 73.1346 , ? ,CHF,0.9813,0.9814,0,0,,,
AUD,49.36,47.49,48.88,48.89,47.97,47.97,50.35,45.12,, 48.3922 , 48.4140 , ? ,AUD,0.6744,0.6746,0,0,,,
AED,,,19.83,19.83,19.24,19.24,20.32,18.08,, 19.5334 , 19.5401 , ? ,AED,3.6728,3.6735,0,0,,,
SAR,,,19.42,19.42,18.85,18.85,19.90,17.71,, 19.1329 , 19.1368 , ? ,SAR,3.7502,3.7504,0,0,,,
QTR,,,20.01,20.01,19.41,19.41,20.50,18.24,, 19.7024 , 19.7162 , ? ,QAR,3.6400,3.6420,0,0,,,
OMR,,,189.19,189.19,183.57,183.57,193.87,171.65,, 186.3695 , 186.4126 , ? ,OMR,0.3850,0.3850,0,0,,,
KWD,,,239.86,239.86,232.57,232.57,245.79,209.74,, 236.1094 , 236.3400 , ? ,KWD,0.3037,0.3039,0,0,,,
,,,,,,,,,, 190.3191 , 190.3684 , ? ,BHD,0.3770,0.3770,0,0,,,
1. Rates are subject to change without any notice,,,,,,,,,, 53.9235 , 53.9480 , ? ,CAD,1.3303,1.3307,0,0,,,
2. *Represents rates per units of 100 ,,,,,,,,,,,,,,,,,,,,
3. TT/Bill  Buy and Sell rates of Gulf Currencies other than AED are only for information,,,,,,,,,,,,,,COPY-PASTSPECIAL-VALUE,,,,,,
