,,,,,,,,,,,,,,,,,,,,
ABU DHABI COMMERCIAL BANK - INDIA TREASURY,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
CARD RATES AS OF:        ,,,3-Sep-19,,,,,9.15,,BASE RATE,,,,SPOT RATE,,C/S DIFFERENCE,,,,
,,,,,,,,,,BID,ASK,,,BID,ASK,BID,ASK,,,
CCY,TC SELL,TC BUY,TT SELL,BILL SELL,TT BUY,BILL BUY,CCY SELL,CCY BUY,,,,,,,,,,,,
USD,72.68,70.19,71.96,71.98,71.25,71.27,73.96,69.94,, 71.6270 , 71.6380 , ? ,USD,71.6675,71.6775,3.9500,4.0500, To be updated,,to be taken from daya sir sheet row no. 32
JPY*,68.58,66.02,67.90,67.92,66.69,66.70,69.96,62.72,, 67.2491 , 67.2657 , ? ,JPY*,106.5000,106.5100,0,0,,,
GBP,88.94,85.60,88.07,88.09,86.45,86.47,90.72,81.31,, 87.2130 , 87.2336 , ? ,GBP,1.2176,1.2177,0,0,,,
EUR,80.66,77.62,79.87,79.89,78.40,78.40,82.27,73.74,, 79.0905 , 79.1098 , ? ,EUR,1.1042,1.1043,0,0,,,
CHF,73.94,71.13,73.21,73.23,71.84,71.84,75.42,67.58,, 72.4750 , 72.5154 , ? ,CHF,0.9879,0.9883,0,0,,,
AUD,49.06,47.20,48.57,48.58,47.67,47.67,50.04,44.84,, 48.0904 , 48.1121 , ? ,AUD,0.6714,0.6716,0,0,,,
AED,,,19.80,19.80,19.21,19.21,20.29,18.05,, 19.4983 , 19.5050 , ? ,AED,3.6728,3.6735,0,0,,,
SAR,,,19.39,19.39,18.81,18.81,19.87,17.68,, 19.0985 , 19.1024 , ? ,SAR,3.7502,3.7504,0,0,,,
QTR,,,19.97,19.97,19.37,19.37,20.46,18.20,, 19.6669 , 19.6727 , ? ,QAR,3.6415,3.6420,0,0,,,
OMR,,,188.85,188.85,183.24,183.24,193.52,171.34,, 186.0345 , 186.0776 , ? ,OMR,0.3850,0.3850,0,0,,,
KWD,,,239.36,239.36,232.20,232.20,245.28,209.40,, 235.7314 , 235.8453 , ? ,KWD,0.3038,0.3039,0,0,,,
,,,,,,,,,, 189.9668 , 190.0162 , ? ,BHD,0.3770,0.3771,0,0,,,
1. Rates are subject to change without any notice,,,,,,,,,, 53.8427 , 53.8672 , ? ,CAD,1.3299,1.3303,0,0,,,
2. *Represents rates per units of 100 ,,,,,,,,,,,,,,,,,,,,
3. TT/Bill  Buy and Sell rates of Gulf Currencies other than AED are only for information,,,,,,,,,,,,,,COPY-PASTSPECIAL-VALUE,,,,,,
